mechanism,base_rate,group_gap,seed,aggregation,statistic,statistic_max,statistic_mean,statistic_weighted,eo_gap,tpr_gap,fpr_gap,dp_gap,eo_base,dp_base,eo_gap_delta,dp_gap_delta
mcar,0.05,0.0,0,max,3.512364557502201e-05,3.512364557502201e-05,1.333554439161e-05,1.605242959391393e-05,0.09535204743920656,0.09535204743920656,0.07788949631572592,0.17852715774998967,0.09535204743920656,0.17852715774998967,0.0,0.0
mcar,0.05,0.0,1,max,3.1719990138193155e-05,3.1719990138193155e-05,1.806089961171424e-05,1.698990621839002e-05,0.14025807951639152,0.14025807951639152,0.08906593933947807,0.19930122075802392,0.14025807951639152,0.19930122075802392,0.0,0.0
mcar,0.05,0.0,2,max,5.0650697336097894e-05,5.0650697336097894e-05,2.940567037064308e-05,2.9015534424641835e-05,0.07751176855946944,0.05110336817653893,0.07751176855946944,0.178140133322981,0.07751176855946944,0.178140133322981,0.0,0.0
mcar,0.05,0.0,3,max,5.527228509444662e-05,5.527228509444662e-05,2.2185932795697195e-05,2.3093322096169022e-05,0.10565163784198073,0.10565163784198073,0.07935949039046189,0.1838936346135323,0.10565163784198073,0.1838936346135323,0.0,0.0
mcar,0.05,0.0,4,max,4.535689266904619e-05,4.535689266904619e-05,2.4092350874732083e-05,1.589067880877282e-05,0.11112074356204871,0.11112074356204871,0.08020045244293707,0.18694562175682186,0.11112074356204871,0.18694562175682186,0.0,0.0
mcar,0.05,0.0,5,max,5.0748266961282706e-05,5.0748266961282706e-05,3.057482755348499e-05,3.2347679845900916e-05,0.11519046719829817,0.11519046719829817,0.08217616450849215,0.1875111457001391,0.11519046719829817,0.1875111457001391,0.0,0.0
mcar,0.05,0.0,6,max,5.697571535272228e-05,5.697571535272228e-05,2.5628586699465854e-05,2.7684739206677204e-05,0.13332087155238692,0.13332087155238692,0.08736332069837649,0.1914773565693541,0.13332087155238692,0.1914773565693541,0.0,0.0
mcar,0.05,0.0,7,max,4.601523000278239e-05,4.601523000278239e-05,2.7563596404281064e-05,2.2219642893026987e-05,0.10255845600483338,0.10255845600483338,0.07598211770618646,0.18525641377259386,0.10255845600483338,0.18525641377259386,0.0,0.0
mcar,0.05,0.0,8,max,4.3734498373040886e-05,4.3734498373040886e-05,2.143946116913622e-05,2.4956769509074804e-05,0.11511126806416194,0.11511126806416194,0.0880396984737965,0.1916878845955856,0.11511126806416194,0.1916878845955856,0.0,0.0
mcar,0.05,0.0,9,max,3.0932151078275766e-05,3.0932151078275766e-05,1.9798398908125667e-05,1.868073584301096e-05,0.14089571376444637,0.14089571376444637,0.07803950935982984,0.18548568138305727,0.14089571376444637,0.18548568138305727,0.0,0.0
mcar,0.05,0.05,0,max,0.04713876971155008,0.04713876971155008,0.028850570712790437,0.03818166446153659,0.0878346552628605,0.0878346552628605,0.07731696638725462,0.17609458121933003,0.09535204743920656,0.17852715774998967,-0.0075173921763460605,-0.002432576530659647
mcar,0.05,0.05,1,max,0.04747954160842833,0.04747954160842833,0.03637122474726219,0.04321329127075578,0.14153408398932693,0.14153408398932693,0.08788782960968392,0.19829591822620576,0.14025807951639152,0.19930122075802392,0.0012760044729354103,-0.0010053025318181585
mcar,0.05,0.05,2,max,0.041986031622721146,0.041986031622721146,0.028117401113175587,0.03236812887838293,0.07748669336016002,0.04535423925667825,0.07748669336016002,0.1774552786312273,0.07751176855946944,0.178140133322981,-2.5075199309415597e-05,-0.0006848546917537224
mcar,0.05,0.05,3,max,0.04724586584827441,0.04724586584827441,0.030057548868968213,0.03674881589133018,0.11603741099892251,0.11603741099892251,0.078104430796961,0.18455765523815004,0.10565163784198073,0.1838936346135323,0.01038577315694178,0.0006640206246177338
mcar,0.05,0.05,4,max,0.046340000018384855,0.046340000018384855,0.026483376764822042,0.03688791043152799,0.11490250696378834,0.11490250696378834,0.08083782116542926,0.1884141868356749,0.11112074356204871,0.18694562175682186,0.003781763401739635,0.0014685650788530402
mcar,0.05,0.05,5,max,0.03738253791900657,0.03738253791900657,0.021560580898739037,0.02802205196778866,0.11259414262236123,0.11259414262236123,0.08252722734667153,0.18716226681224796,0.11519046719829817,0.1875111457001391,-0.002596324575936948,-0.0003488788878911464
mcar,0.05,0.05,6,max,0.049618722688708164,0.049618722688708164,0.038086427610521,0.04243320891704934,0.14243815621807765,0.14243815621807765,0.08733598057250468,0.19337434010595378,0.13332087155238692,0.1914773565693541,0.009117284665690728,0.0018969835365996723
mcar,0.05,0.05,7,max,0.048897097731457353,0.048897097731457353,0.029198763815237123,0.03561125217948665,0.08936668191237662,0.08936668191237662,0.07531436886081438,0.18301240441525762,0.10255845600483338,0.18525641377259386,-0.013191774092456754,-0.002244009357336235
mcar,0.05,0.05,8,max,0.03453459849364006,0.03453459849364006,0.022190119917172957,0.02682790573630116,0.11082387476617983,0.11082387476617983,0.0868050139708203,0.1903766957843968,0.11511126806416194,0.1916878845955856,-0.004287393297982112,-0.0013111888111888015
mcar,0.05,0.05,9,max,0.04561198509243429,0.04561198509243429,0.030653720718664568,0.03476205835503717,0.13788044645871483,0.13788044645871483,0.07848395921614469,0.18589135618840497,0.14089571376444637,0.18548568138305727,-0.0030152673057315393,0.00040567480534769995
mcar,0.05,0.1,0,max,0.0941893619113165,0.0941893619113165,0.05773276963917019,0.07634725485746863,0.09903528869150857,0.09903528869150857,0.07821083307665137,0.17919040994138136,0.09535204743920656,0.17852715774998967,0.0036832412523020164,0.0006632521913916833
mcar,0.05,0.1,1,max,0.09490402416447433,0.09490402416447433,0.07272727272727272,0.08641971247299977,0.14793763355144424,0.14793763355144424,0.08642283908624249,0.1984053873011921,0.14025807951639152,0.19930122075802392,0.007679554035052716,-0.0008958334568318349
mcar,0.05,0.1,2,max,0.08394338701805759,0.08394338701805759,0.056203025866276235,0.06469598348621335,0.07672873479522824,0.050116144018583,0.07672873479522824,0.1774499299370358,0.07751176855946944,0.178140133322981,-0.0007830337642412005,-0.0006902033859452206
mcar,0.05,0.1,3,max,0.09459980713596915,0.09459980713596915,0.06009643201542912,0.07351975618421362,0.12327412887244937,0.12327412887244937,0.07826107240097102,0.18537430904153318,0.10565163784198073,0.1838936346135323,0.017622491030468646,0.0014806744280008721
mcar,0.05,0.1,4,max,0.09279252990954187,0.09279252990954187,0.05299095418733586,0.07379272401465943,0.12645102609288844,0.12645102609288844,0.07892676990830882,0.18798521593663897,0.11112074356204871,0.18694562175682186,0.015330282530839734,0.0010395941798171104
mcar,0.05,0.1,5,max,0.07471432757105186,0.07471432757105186,0.043129211837093465,0.05603671879755016,0.11035080075027182,0.11035080075027182,0.08154007352890474,0.18604998751681587,0.11519046719829817,0.1875111457001391,-0.0048396664480263585,-0.0014611581833232357
mcar,0.05,0.1,6,max,0.09935584618387663,0.09935584618387663,0.07618582861604528,0.08490665873671153,0.14500510757500756,0.14500510757500756,0.08669306105980404,0.19313330070500942,0.13332087155238692,0.1914773565693541,0.011684236022620642,0.0016559441356553128
mcar,0.05,0.1,7,max,0.09779855834794467,0.09779855834794467,0.05840639002532631,0.07123763397300908,0.09313434858468994,0.09313434858468994,0.07477631933593948,0.18321051570161662,0.10255845600483338,0.18525641377259386,-0.009424107420143435,-0.0020458980709772423
mcar,0.05,0.1,8,max,0.06896887159533074,0.06896887159533074,0.04433852140077821,0.05361552698210527,0.11559546209491856,0.11559546209491856,0.08728135566659674,0.19180511942757128,0.11511126806416194,0.1916878845955856,0.0004841940307566128,0.00011723483198566864
mcar,0.05,0.1,9,max,0.0912280701754386,0.0912280701754386,0.06130604288499025,0.06953860981724758,0.14440818303034025,0.14440818303034025,0.07689023103274722,0.18544039790204644,0.14089571376444637,0.18548568138305727,0.0035124692658938805,-4.528348101082158e-05
mcar,0.05,0.2,0,max,0.14138236161636025,0.14138236161636025,0.08659915445875528,0.11453317212987614,0.10533756403045103,0.10533756403045103,0.07763830314818007,0.1793006260588349,0.09535204743920656,0.17852715774998967,0.00998551659124447,0.0007734683088452265
mcar,0.05,0.2,1,max,0.14235603624671148,0.14235603624671148,0.1091298840494982,0.12965869071978398,0.15246592708229534,0.15246592708229534,0.08626357805741623,0.1985349372331197,0.14025807951639152,0.19930122075802392,0.012207847565903818,-0.0007662835249042099
mcar,0.05,0.2,2,max,0.1259150805270864,0.1259150805270864,0.08429477794045877,0.09702284759836077,0.07783192223323285,0.0484320557491289,0.07783192223323285,0.17834880634153016,0.07751176855946944,0.178140133322981,0.00032015367376340975,0.00020867301854915477
mcar,0.05,0.2,3,max,0.14185149469623914,0.14185149469623914,0.09014464802314368,0.11025088416645723,0.1292265098248303,0.1292265098248303,0.07799936080714742,0.18583673678719792,0.10565163784198073,0.1838936346135323,0.023574871982849577,0.0019431021736656118
mcar,0.05,0.2,4,max,0.13918879486431282,0.13918879486431282,0.07946697792043575,0.11070226512597005,0.11589875504519354,0.11589875504519354,0.07879908518173914,0.18650056228330242,0.11112074356204871,0.18694562175682186,0.004778011483144828,-0.0004450594735194435
mcar,0.05,0.2,5,max,0.11212032425041508,0.11212032425041508,0.06469381775564019,0.08407821189512678,0.11070378345411935,0.11070378345411935,0.08083900246072538,0.18572561685354005,0.11519046719829817,0.1875111457001391,-0.004486683744178821,-0.0017855288465990493
mcar,0.05,0.2,6,max,0.14903376927581496,0.14903376927581496,0.11428850283037284,0.12735460865109424,0.1546528955211306,0.1546528955211306,0.08746012830603261,0.19504113076813967,0.13332087155238692,0.1914773565693541,0.021332023968743674,0.003563774198785563
mcar,0.05,0.2,7,max,0.146697837521917,0.146697837521917,0.08759010325345802,0.10685286503560452,0.09920722307861707,0.09920722307861707,0.07296235274567381,0.18243756541835804,0.10255845600483338,0.18525641377259386,-0.0033512329262163076,-0.00281884835423582
mcar,0.05,0.2,8,max,0.10340466926070038,0.10340466926070038,0.06649805447470816,0.08041428646237703,0.12508759635599154,0.12508759635599154,0.08466023681916077,0.19057131995976845,0.11511126806416194,0.1916878845955856,0.009976328291829595,-0.0011165646358171633
mcar,0.05,0.2,9,max,0.13693957115009747,0.13693957115009747,0.09196881091617934,0.10433473231380463,0.14829167817597128,0.14829167817597128,0.07797375513451203,0.1867868036924062,0.14089571376444637,0.18548568138305727,0.007395964411524902,0.0013011223093489233
mcar,0.05,0.3,0,max,0.18847704257201847,0.18847704257201847,0.11544587552846326,0.15268091248574597,0.10420541484807444,0.10420541484807444,0.07770844674155969,0.1793008704946687,0.09535204743920656,0.17852715774998967,0.008853367408867885,0.0007737127446790226
mcar,0.05,0.3,1,max,0.18980804832894865,0.18980804832894865,0.14549352041313457,0.17288774295759016,0.1594452010053033,0.1594452010053033,0.08569034382452177,0.19909566984601218,0.14025807951639152,0.19930122075802392,0.019187121488911774,-0.0002055509120117427
mcar,0.05,0.3,2,max,0.16788677403611518,0.16788677403611518,0.11240605173255247,0.12937640520007304,0.07707396366830106,0.05075493612078985,0.07707396366830106,0.17757566122307628,0.07751176855946944,0.178140133322981,-0.0004378048911683752,-0.0005644720999047337
mcar,0.05,0.3,3,max,0.18910318225650916,0.18910318225650916,0.12023143683702989,0.14703354763701343,0.13156053184044791,0.13156053184044791,0.07920284878645187,0.18720920952725245,0.10565163784198073,0.1838936346135323,0.025908893998467186,0.003315574913720143
mcar,0.05,0.3,4,max,0.18558505981908374,0.18558505981908374,0.10594300165353565,0.1475897461286437,0.1281436530043772,0.1281436530043772,0.07921313749652893,0.18819567924253605,0.11112074356204871,0.18694562175682186,0.017022909442328482,0.00125005748571419
mcar,0.05,0.3,5,max,0.1495263209297783,0.1495263209297783,0.08625842367418694,0.11211797991764937,0.11483748449445064,0.11483748449445064,0.08217616450849215,0.18740138826407282,0.11519046719829817,0.1875111457001391,-0.0003529827038475375,-0.0001097574360662823
mcar,0.05,0.3,6,max,0.19861409330470428,0.19861409330470428,0.15237165723209056,0.1697918371774561,0.1546528955211306,0.1546528955211306,0.08627849050330774,0.1940323791496037,0.13332087155238692,0.1914773565693541,0.021332023968743674,0.0025550225802495885
mcar,0.05,0.3,7,max,0.19559711669588933,0.19559711669588933,0.11679329826612117,0.14249505278036262,0.0988585480437496,0.0988585480437496,0.07296235274567381,0.18232813228200434,0.10255845600483338,0.18525641377259386,-0.0036999079610837704,-0.0029282814905895183
mcar,0.05,0.3,8,max,0.1379377431906615,0.1379377431906615,0.08867704280155642,0.1072500482326367,0.12740648571696578,0.12740648571696578,0.08593999110633763,0.19203958909154267,0.11511126806416194,0.1916878845955856,0.012295217652803836,0.00035170449595706144
mcar,0.05,0.3,9,max,0.18255360623781677,0.18255360623781677,0.12265107212475634,0.13912356914749258,0.1385829403118936,0.1385829403118936,0.07740043511437988,0.1852149187588672,0.14089571376444637,0.18548568138305727,-0.0023127734525527632,-0.00027076262419006847
mcar,0.15,0.0,0,max,2.134876959056231e-05,2.134876959056231e-05,9.853841518198126e-06,1.0878355837039198e-05,0.10596406781919843,0.10596406781919843,0.07963646730711238,0.17941084217628853,0.10596406781919843,0.17941084217628853,0.0,0.0
mcar,0.15,0.0,1,max,6.857785346361944e-05,6.857785346361944e-05,3.481728957731127e-05,3.8550339028216405e-05,0.17395594601476955,0.17395594601476955,0.08702824193754226,0.20057901039165826,0.17395594601476955,0.20057901039165826,0.0,0.0
mcar,0.15,0.0,2,max,5.409275642598299e-05,5.409275642598299e-05,2.1331648320033204e-05,2.4770400985317208e-05,0.07661108357782327,0.04767711962833909,0.07661108357782327,0.17644671702326686,0.07661108357782327,0.17644671702326686,0.0,0.0
mcar,0.15,0.0,3,max,6.283824543114325e-05,6.283824543114325e-05,3.4286938819244604e-05,3.0071656435972247e-05,0.11965993535272756,0.11965993535272756,0.08040055648149423,0.18525129685664715,0.11965993535272756,0.18525129685664715,0.0,0.0
mcar,0.15,0.0,4,max,4.8933748055608045e-05,4.8933748055608045e-05,1.8247423319386197e-05,9.890469831115788e-06,0.1134614291399011,0.1134614291399011,0.08042324139546139,0.1869536660440636,0.1134614291399011,0.1869536660440636,0.0,0.0
mcar,0.15,0.0,5,max,3.080102399859869e-05,3.080102399859869e-05,1.1608073213804915e-05,1.1282571577187153e-05,0.11024870934443298,0.11024870934443298,0.08223903538072531,0.18621366304703588,0.11024870934443298,0.18621366304703588,0.0,0.0
mcar,0.15,0.0,6,max,4.797211175042171e-05,4.797211175042171e-05,2.9009382867302423e-05,2.8206488699939624e-05,0.13632881198858432,0.13632881198858432,0.08624375676241561,0.18928931635378632,0.13632881198858432,0.18928931635378632,0.0,0.0
mcar,0.15,0.0,7,max,6.213695547881148e-05,6.213695547881148e-05,2.2240694501343693e-05,2.5573974506271638e-05,0.09146861360030267,0.09146861360030267,0.07659555496110033,0.18224637246078185,0.09146861360030267,0.18224637246078185,0.0,0.0
mcar,0.15,0.0,8,max,3.3927230527683316e-05,3.3927230527683316e-05,1.569162855257558e-05,1.6133843288970144e-05,0.11287514691357348,0.11287514691357348,0.08781930763545542,0.19050189971410245,0.11287514691357348,0.19050189971410245,0.0,0.0
mcar,0.15,0.0,9,max,4.605656073658482e-05,4.605656073658482e-05,3.078637363578829e-05,3.368374599842673e-05,0.1401932199112676,0.1401932199112676,0.07778440731901351,0.18504119216541454,0.1401932199112676,0.18504119216541454,0.0,0.0
mcar,0.15,0.05,0,max,0.047071940969356976,0.047071940969356976,0.028856660031722305,0.03817623806213505,0.09937499877508382,0.09937499877508382,0.07718567921276448,0.17653654565039636,0.10596406781919843,0.17941084217628853,-0.006589069044114604,-0.0028742965258921616
mcar,0.15,0.05,1,max,0.047488277814787455,0.047488277814787455,0.03639065119153837,0.043240514738764474,0.13733240331705804,0.13733240331705804,0.08744221514161048,0.19652433216948345,0.17395594601476955,0.20057901039165826,-0.03662354269771151,-0.004054678222174812
mcar,0.15,0.05,2,max,0.04194996978510382,0.04194996978510382,0.02808334524376959,0.032327648525572,0.07661880835696537,0.05017421602787453,0.07661880835696537,0.17801440203694052,0.07661108357782327,0.17644671702326686,7.724779142098681e-06,0.0015676850136736586
mcar,0.15,0.05,3,max,0.04727202957339084,0.04727202957339084,0.03004592356703769,0.03675173969217315,0.12198979195130355,0.12198979195130355,0.07805093242134387,0.18511347417482138,0.11965993535272756,0.18525129685664715,0.0023298565985759856,-0.00013782268182577218
mcar,0.15,0.05,4,max,0.04635625969306194,0.04635625969306194,0.026474621205326183,0.03688212655070488,0.11007617531692337,0.11007617531692337,0.07873550654604335,0.18550923382693574,0.1134614291399011,0.1869536660440636,-0.0033852538229777185,-0.0014444322171278667
mcar,0.15,0.05,5,max,0.03733967460473904,0.03733967460473904,0.02155381963161136,0.02800707864345688,0.1195750595366385,0.1195750595366385,0.08297259649320066,0.18796978202409662,0.11024870934443298,0.18621366304703588,0.009326350192205513,0.0017561189770607388
mcar,0.15,0.05,6,max,0.04967053785759111,0.04967053785759111,0.038089342498694834,0.04243576722111114,0.12986799288098821,0.12986799288098821,0.08783996512163675,0.1903860480932028,0.13632881198858432,0.18928931635378632,-0.006460819107596105,0.00109673173941649
mcar,0.15,0.05,7,max,0.04888837196139746,0.04888837196139746,0.029201301393043687,0.035626932914207515,0.08720687299194241,0.08720687299194241,0.0715620053946811,0.17878476194598952,0.09146861360030267,0.18224637246078185,-0.004261740608360265,-0.0034616105147923237
mcar,0.15,0.05,8,max,0.03454440576148543,0.03454440576148543,0.022177022322342824,0.02682583241436335,0.10465074574157562,0.10465074574157562,0.08692823451698481,0.18882306821151668,0.11287514691357348,0.19050189971410245,-0.008224401171997853,-0.0016788315025857703
mcar,0.15,0.05,9,max,0.04565451110573557,0.04565451110573557,0.03066586580184199,0.03479006753222198,0.14709198236263005,0.14709198236263005,0.08138343642946438,0.18806898792654497,0.1401932199112676,0.18504119216541454,0.00689876245136245,0.0030277957611304362
mcar,0.15,0.1,0,max,0.09422085191850889,0.09422085191850889,0.05770988595482708,0.07632205538522874,0.09307272343614137,0.09307272343614137,0.0785819322372529,0.17708958172433448,0.10596406781919843,0.17941084217628853,-0.012891344383057057,-0.002321260451954049
mcar,0.15,0.1,1,max,0.09491276037083347,0.09491276037083347,0.07274669917154893,0.08644447968957444,0.1448874016009566,0.1448874016009566,0.0895442497803569,0.19886334445807868,0.17395594601476955,0.20057901039165826,-0.029068544413812958,-0.0017156659335795799
mcar,0.15,0.1,2,max,0.08390732518044026,0.08390732518044026,0.05619867200345392,0.06468139373627879,0.07640858112146483,0.05487804878048774,0.07640858112146483,0.17789936813928298,0.07661108357782327,0.17644671702326686,-0.00020250245635844433,0.0014526511160161126
mcar,0.15,0.1,3,max,0.09452953884565644,0.09452953884565644,0.06012337951967024,0.07352490086138151,0.1312148022259988,0.1312148022259988,0.07867749883738397,0.1853401598382854,0.11965993535272756,0.18525129685664715,0.01155486687327123,8.886298163823803e-05
mcar,0.15,0.1,4,max,0.09280878958421895,0.09280878958421895,0.052972102430180176,0.07379744383566211,0.11888749928940934,0.11888749928940934,0.08067808339342265,0.18764136597244713,0.1134614291399011,0.1869536660440636,0.005426070149508244,0.0006876999283835228
mcar,0.15,0.1,5,max,0.07476913004445891,0.07476913004445891,0.04312245056996579,0.05605086799959175,0.10445218619070273,0.10445218619070273,0.0809668534215505,0.18449867847711854,0.11024870934443298,0.18621366304703588,-0.005796523153730249,-0.0017149845699173383
mcar,0.15,0.1,6,max,0.09926335296185781,0.09926335296185781,0.07618874350421911,0.08489870708087337,0.140932211422012,0.140932211422012,0.08783996512163675,0.19205826201865395,0.13632881198858432,0.18928931635378632,0.004603399433427691,0.002768945664867628
mcar,0.15,0.1,7,max,0.09778983257788475,0.09778983257788475,0.058389445818601414,0.07124179192680245,0.1081471380414345,0.1081471380414345,0.07659028592620513,0.18527716875894226,0.09146861360030267,0.18224637246078185,0.016678524441131826,0.0030307962981604153
mcar,0.15,0.1,8,max,0.0689786788631761,0.0689786788631761,0.04434487905886637,0.053634465063965533,0.09874523393055201,0.09874523393055201,0.08749223673983145,0.1883302215904141,0.11287514691357348,0.19050189971410245,-0.014129912983021464,-0.0021716781236883476
mcar,0.15,0.1,9,max,0.09127059618873988,0.09127059618873988,0.06132833316705594,0.06956334992566496,0.1381055173048789,0.1381055173048789,0.07794087802185314,0.18348871443802311,0.1401932199112676,0.18504119216541454,-0.002087702606388686,-0.0015524777273914214
mcar,0.15,0.2,0,max,0.18846690133441663,0.18846690133441663,0.11547323856450527,0.1527142807860429,0.11383619571743175,0.11383619571743175,0.07862269462465993,0.18095851210148034,0.10596406781919843,0.17941084217628853,0.007872127898233328,0.0015476699251918136
